ATP5MK	BTBD9
BID	BTC
ALDH3B2	BTG2
ANKRD24	BTG2
ACAT1	BTG4
BACH2	BTK
BLNK	BTK
ACSF3	BTLA
AGPAT3	BTN2A1
ANGPTL4	BTN3A1
APOBEC3C	BTN3A1
ACSM2A	BTN3A2
ADTRP	BTN3A3
BICDL1	BTN3A3
BMP2K	BTN3A3
BTNL3	BTNL8
AFG2B	BUB3
AIRIM	BUB3
APOBEC3B	C10orf62
BEST1	C10orf67
ANKRD9	C10orf90
ATP11A	C10orf90
ALDOB	C11orf24
APOBEC3B	C11orf42
ABCA1	C11orf52
ATP11C	C11orf54
APOC3	C11orf87
BPNT2	C12orf60
BTLA	C12orf60
ARHGEF9	C12orf71
ASB2	C14orf180
ARL3	C14orf28
ANO6	C14orf39
ATOSA	C14orf39
ATP8A1	C14orf39
BBIP1	C14orf39
BPNT2	C14orf39
ANXA10	C15orf40
ACTRT3	C15orf61
ANKRD13A	C15orf62
BRME1	C15orf62
BAAT	C16orf78
AKAP3	C16orf87
ARID5B	C16orf87
ATP5MC3	C16orf87
ABLIM2	C16orf90
BIN1	C17orf107
BTF3	C18orf21
AK5	C19orf12
ARF4	C19orf25
BNIP1	C19orf25
ACSM4	C19orf44
ACP7	C19orf47
ARSI	C19orf84
ATPSCKMT	C19orf84
AK6	C1D
C1GALT1	C1GALT1C1
C1orf127	C1QA
ANKRD33	C1QL4
BDH2	C1QTNF3
APLF	C1QTNF6
ARSI	C1QTNF6
C1QTNF9	C1QTNF9B
ADRA2A	C1orf115
AVPR1B	C1orf116
ARTN	C1orf122
AATF	C1orf131
ALX1	C1orf131
BRDT	C1orf146
ACAP3	C1orf159
AGRN	C1orf159
AMPD1	C1orf162
ATP5MF	C1orf216
BTG2	C1orf35
C1orf115	C1orf35
ANP32E	C1orf43
BLTP1	C1orf43
C1orf105	C1orf52
ANP32E	C1orf56
ANO5	C1orf94
ACADS	C20orf141
C20orf96	C21orf140
ANKRD54	C22orf23
ADGRA2	C2CD4B
BID	C2CD4D
ARL15	C2CD5
BAD	C2CD5
ADORA1	C2orf15
AAR2	C2orf76
ABCD2	C2orf76
ADIPOR1	C2orf76
ADPRM	C2orf76
AGGF1	C2orf76
AMPD2	C2orf76
ANGPTL5	C2orf76
ANKRD45	C2orf76
AP5M1	C2orf76
APIP	C2orf76
ARAP2	C2orf76
BCL2A1	C2orf76
C14orf39	C2orf76
C1orf141	C2orf76
C21orf140	C2orf76
ASIC4	C3orf18
C2orf66	C3orf18
ABCC5	C3orf70
ALKBH7	C3orf80
BDH2	C4orf3
ABCB6	C4orf46
